X,Y,Z,Name,id,province_id,alt_name,latitude,longitude,name2
111.16667,-8.13333,0,KABUPATEN PACITAN,3501,35,KABUPATEN PACITAN,-8.13333,111.16667,KABUPATEN PACITAN
111.5,-7.93333,0,KABUPATEN PONOROGO,3502,35,KABUPATEN PONOROGO,-7.93333,111.5,KABUPATEN PONOROGO
111.61667,-8.16667,0,KABUPATEN TRENGGALEK,3503,35,KABUPATEN TRENGGALEK,-8.16667,111.61667,KABUPATEN TRENGGALEK
111.91667,-8.11667,0,KABUPATEN TULUNGAGUNG,3504,35,KABUPATEN TULUNGAGUNG,-8.11667,111.91667,KABUPATEN TULUNGAGUNG
112.25,-8.13333,0,KABUPATEN BLITAR,3505,35,KABUPATEN BLITAR,-8.13333,112.25,KABUPATEN BLITAR
112.16667,-7.83333,0,KABUPATEN KEDIRI,3506,35,KABUPATEN KEDIRI,-7.83333,112.16667,KABUPATEN KEDIRI
112.66667,-8.16667,0,KABUPATEN MALANG,3507,35,KABUPATEN MALANG,-8.16667,112.66667,KABUPATEN MALANG
113.15,-8.11667,0,KABUPATEN LUMAJANG,3508,35,KABUPATEN LUMAJANG,-8.11667,113.15,KABUPATEN LUMAJANG
113.65,-8.25,0,KABUPATEN JEMBER,3509,35,KABUPATEN JEMBER,-8.25,113.65,KABUPATEN JEMBER
114.2,-8.33333,0,KABUPATEN BANYUWANGI,3510,35,KABUPATEN BANYUWANGI,-8.33333,114.2,KABUPATEN BANYUWANGI
113.9834,-7.9404,0,KABUPATEN BONDOWOSO,3511,35,KABUPATEN BONDOWOSO,-7.9404,113.9834,KABUPATEN BONDOWOSO
114.05,-7.71667,0,KABUPATEN SITUBONDO,3512,35,KABUPATEN SITUBONDO,-7.71667,114.05,KABUPATEN SITUBONDO
113.31667,-7.86667,0,KABUPATEN PROBOLINGGO,3513,35,KABUPATEN PROBOLINGGO,-7.86667,113.31667,KABUPATEN PROBOLINGGO
112.83333,-7.73333,0,KABUPATEN PASURUAN,3514,35,KABUPATEN PASURUAN,-7.73333,112.83333,KABUPATEN PASURUAN
112.7,-7.45,0,KABUPATEN SIDOARJO,3515,35,KABUPATEN SIDOARJO,-7.45,112.7,KABUPATEN SIDOARJO
112.5,-7.55,0,KABUPATEN MOJOKERTO,3516,35,KABUPATEN MOJOKERTO,-7.55,112.5,KABUPATEN MOJOKERTO
112.25,-7.55,0,KABUPATEN JOMBANG,3517,35,KABUPATEN JOMBANG,-7.55,112.25,KABUPATEN JOMBANG
111.93333,-7.6,0,KABUPATEN NGANJUK,3518,35,KABUPATEN NGANJUK,-7.6,111.93333,KABUPATEN NGANJUK
111.65,-7.61667,0,KABUPATEN MADIUN,3519,35,KABUPATEN MADIUN,-7.61667,111.65,KABUPATEN MADIUN
111.35917,-7.64472,0,KABUPATEN MAGETAN,3520,35,KABUPATEN MAGETAN,-7.64472,111.35917,KABUPATEN MAGETAN
111.33444,-7.47444,0,KABUPATEN NGAWI,3521,35,KABUPATEN NGAWI,-7.47444,111.33444,KABUPATEN NGAWI
111.8,-7.25,0,KABUPATEN BOJONEGORO,3522,35,KABUPATEN BOJONEGORO,-7.25,111.8,KABUPATEN BOJONEGORO
111.9,-6.96667,0,KABUPATEN TUBAN,3523,35,KABUPATEN TUBAN,-6.96667,111.9,KABUPATEN TUBAN
112.31667,-7.13333,0,KABUPATEN LAMONGAN,3524,35,KABUPATEN LAMONGAN,-7.13333,112.31667,KABUPATEN LAMONGAN
112.553,-7.1933,0,KABUPATEN GRESIK,3525,35,KABUPATEN GRESIK,-7.1933,112.553,KABUPATEN GRESIK
112.93333,-7.05,0,KABUPATEN BANGKALAN,3526,35,KABUPATEN BANGKALAN,-7.05,112.93333,KABUPATEN BANGKALAN
113.25,-7.05,0,KABUPATEN SAMPANG,3527,35,KABUPATEN SAMPANG,-7.05,113.25,KABUPATEN SAMPANG
113.5,-7.06667,0,KABUPATEN PAMEKASAN,3528,35,KABUPATEN PAMEKASAN,-7.06667,113.5,KABUPATEN PAMEKASAN
114.33333,-7.11667,0,KABUPATEN SUMENEP,3529,35,KABUPATEN SUMENEP,-7.11667,114.33333,KABUPATEN SUMENEP
112.01667,-7.83333,0,KOTA KEDIRI,3571,35,KOTA KEDIRI,-7.83333,112.01667,KOTA KEDIRI
112.16667,-8.1,0,KOTA BLITAR,3572,35,KOTA BLITAR,-8.1,112.16667,KOTA BLITAR
112.63333,-7.975,0,KOTA MALANG,3573,35,KOTA MALANG,-7.975,112.63333,KOTA MALANG
113.21667,-7.78333,0,KOTA PROBOLINGGO,3574,35,KOTA PROBOLINGGO,-7.78333,113.21667,KOTA PROBOLINGGO
112.9,-7.65,0,KOTA PASURUAN,3575,35,KOTA PASURUAN,-7.65,112.9,KOTA PASURUAN
112.43333,-7.46667,0,KOTA MOJOKERTO,3576,35,KOTA MOJOKERTO,-7.46667,112.43333,KOTA MOJOKERTO
111.53333,-7.63333,0,KOTA MADIUN,3577,35,KOTA MADIUN,-7.63333,111.53333,KOTA MADIUN
112.71667,-7.26667,0,KOTA SURABAYA,3578,35,KOTA SURABAYA,-7.26667,112.71667,KOTA SURABAYA
112.53751,-7.83272,0,KOTA BATU,3579,35,KOTA BATU,-7.83272,112.53751,KOTA BATU
